Art,Substrat,ID,Ausgesaet,Angelaufen,Ausfaelle,Entwicklung,Homogenitaet
Bohne,Presstopf,1,84,79,5,8,7
Bohne,Presstopf,2,84,81,3,5,7
Bohne,Presstopf,3,84,78,6,8,7
Bohne,Presstopf,4,84,78,6,8,6
Bohne,Presstopf,5,84,63,21,4,3
Bohne,Presstopf,6,84,61,23,5,3
Bohne,Presstopf,7,84,81,3,8,8
Bohne,Presstopf,8,84,74,10,6,7
Bohne,Presstopf,9,84,53,31,4,4
Bohne,Presstopf,10,84,53,31,5,5
Bohne,Steinwolle,1,84,67,17,5,3
Bohne,Steinwolle,2,84,75,9,5,5
Bohne,Steinwolle,3,84,74,10,5,4
Bohne,Steinwolle,4,84,36,48,3,2
Bohne,Steinwolle,5,84,16,68,2,2
Bohne,Steinwolle,6,84,10,74,1,1
Bohne,Steinwolle,7,84,69,15,6,7
Bohne,Steinwolle,8,84,63,21,5,6
Bohne,Steinwolle,9,84,10,74,2,3
Bohne,Steinwolle,10,84,10,74,3,2
Radies,Presstopf,1,84,82,2,9,5
Radies,Presstopf,2,84,78,6,5,7
Radies,Presstopf,3,84,79,5,7,6
Radies,Presstopf,4,84,84,0,8,9
Radies,Presstopf,5,84,83,1,7,6
Radies,Presstopf,6,84,72,12,6,2
Radies,Presstopf,7,84,83,1,8,8
Radies,Presstopf,8,84,84,0,9,7
Radies,Presstopf,9,84,83,1,7,4
Radies,Presstopf,10,84,80,4,8,5
Radies,Steinwolle,1,84,80,4,6,5
Radies,Steinwolle,2,84,78,6,8,6
Radies,Steinwolle,3,84,79,5,6,5
Radies,Steinwolle,4,84,81,3,5,8
Radies,Steinwolle,5,84,80,4,4,7
Radies,Steinwolle,6,84,74,10,4,3
Radies,Steinwolle,7,84,82,2,8,8
Radies,Steinwolle,8,84,81,3,7,7
Radies,Steinwolle,9,84,82,2,7,6
Radies,Steinwolle,10,84,83,1,8,7
