Unterlagenklon,Inokulat,Gesamtanzahl_Blätter,Blätter_Symp,Trockengewicht,Frischgewicht,Blattfläche,Gesamttrieblänge
Gi 5,ohne,21,0,1.784,4.8,296.57,85.5
Gi 5,ohne,34,0,1.894,5.72,361.96,161.7
Gi 5,ohne,28,0,2.144,6.63,368.07,127.2
Gi 5,ohne,38,0,0.474,1.48,116.25,174.7
Gi 5,ohne,30,0,1.104,3.57,239.04,144.9
Gi 5,PDV,32,0,2.544,7.66,450.93,146.2
Gi 5,PDV,31,0,2.224,6.93,394.26,142.1
Gi 5,PDV,22,3,1.894,5.66,323.51,90.8
Gi 5,PDV,26,1,2.734,8.4,480.7,227.2
Gi 5,PDV,24,0,2.804,7.97,467.46,138.1
Gi 5,PNRSV,36,9,0.774,2.04,133.23,108.8
Gi 5,PNRSV,16,5,1.454,3.68,227.08,121.4
Gi 5,PNRSV,16,1,0.644,1.71,120.84,58
Gi 5,PNRSV,18,4,2.024,4.95,335.93,156
Gi 5,PNRSV,11,1,1.844,5.29,318.21,62.3
Gi 5,PDV + PNRSV,27,10,1.524,3.53,256.3,90.2
Gi 5,PDV + PNRSV,17,0,1.544,3.72,221.64,85
Gi 5,PDV + PNRSV,25,6,1.674,4.41,261.19,84.5
Gi 5,PDV + PNRSV,30,10,0.844,2.02,137.82,101.8
Gi 5,PDV + PNRSV,24,8,0.794,2.14,125.32,122.7
Gi 6,ohne,45,0,2.464,7.41,394.84,263.8
Gi 6,ohne,27,0,2.304,6.89,413.61,157.7
Gi 6,ohne,34,0,3.124,9.73,683.22,196.3
Gi 6,ohne,24,0,2.964,9.64,710.94,141.3
Gi 6,ohne,36,0,5.404,15.98,943.64,195.7
Gi 6,PDV,35,1,4.924,14.68,881.36,211.7
Gi 6,PDV,33,0,2.454,7.38,449.32,218
Gi 6,PDV,34,0,2.914,8.31,589.24,221.5
Gi 6,PDV,31,0,3.754,10.85,606.53,193.8
Gi 6,PDV,39,5,3.404,9.45,569.99,232.2
Gi 6,PNRSV,30,3,1.634,4.37,274.42,129
Gi 6,PNRSV,15,8,1.044,3.14,189.87,69.3
Gi 6,PNRSV,26,11,1.334,3.9,220.53,97.8
Gi 6,PNRSV,21,5,0.824,2.09,164.04,121.5
Gi 6,PNRSV,27,8,1.464,4.35,268.85,144.9
Gi 6,PDV + PNRSV,23,12,0.634,1.67,110.6,82.5
Gi 6,PDV + PNRSV,35,0,2.274,6.02,333.28,174.1
Gi 6,PDV + PNRSV,41,0,2.314,6.18,335.88,234
Gi 6,PDV + PNRSV,25,0,4.534,12.78,713.07,143.3
Gi 6,PDV + PNRSV,25,0,1.504,4.2,296.5,147
Gi 12,ohne,46,0,3.634,9.96,596.15,271
Gi 12,ohne,15,0,4.574,13.38,774.01,219
Gi 12,ohne,29,0,4.414,13.16,764.01,151.5
Gi 12,ohne,32,0,4.054,11.88,698.65,245.3
Gi 12,ohne,38,0,2.224,6.53,411.94,189.3
Gi 12,PDV,30,1,3.684,10.43,660.07,248.8
Gi 12,PDV,21,2,2.614,8.38,570.63,220.6
Gi 12,PDV,13,1,3.934,11.62,655.93,141.6
Gi 12,PDV,34,2,3.874,10.9,645.76,223.2
Gi 12,PDV,24,0,2.994,8.83,514.61,135.2
Gi 12,PNRSV,15,4,2.634,7.14,392.56,48.3
Gi 12,PNRSV,26,9,2.164,5.77,312.75,79
Gi 12,PNRSV,46,8,2.634,7.16,419.18,125.3
Gi 12,PNRSV,29,6,2.294,6.5,397.9,118.8
Gi 12,PNRSV,26,11,3.034,9.04,495.43,133.6
Gi 12,PDV + PNRSV,19,10,1.664,4.76,286.98,56.6
Gi 12,PDV + PNRSV,10,2,0.354,0.19,17.81,4.5
Gi 12,PDV + PNRSV,32,6,3.454,9.34,541.43,154.1
Gi 12,PDV + PNRSV,28,2,2.754,7.76,437.19,106.2
Gi 12,PDV + PNRSV,9,2,1.344,4.07,232.65,73.2
Gi 13,ohne,32,0,1.844,5.56,348.97,186.9
Gi 13,ohne,23,0,1.784,5.18,343.64,195.5
Gi 13,ohne,33,0,1.214,3.43,231.82,168.5
Gi 13,ohne,34,0,5.544,16.42,938.87,271.6
Gi 13,ohne,40,0,1.424,4.56,299.79,224.8
Gi 13,PDV,39,0,3.724,9.62,531.06,235
Gi 13,PDV,31,0,3.994,11.9,690.18,250.1
Gi 13,PDV,44,0,1.654,4.42,278.41,241
Gi 13,PDV,40,0,1.514,4.17,273.49,163
Gi 13,PDV,31,0,1.684,4.55,285.38,178.3
Gi 13,PNRSV,11,12,0.794,1.81,104.45,31.5
Gi 13,PNRSV,23,0,4.214,11.93,634.99,125
Gi 13,PNRSV,24,4,1.054,2.35,122.61,27
Gi 13,PNRSV,37,3,2.534,6.22,360.86,68.2
Gi 13,PNRSV,26,0,2.444,5.87,303.26,42.5
Gi 13,PDV + PNRSV,35,11,0.784,1.41,78.04,49
Gi 13,PDV + PNRSV,28,6,0.744,1.28,71.37,53.1
Gi 13,PDV + PNRSV,29,1,2.864,8.19,430.7,154
Gi 13,PDV + PNRSV,21,0,1.784,4.71,276.02,91.1
Gi 13,PDV + PNRSV,26,3,0.524,0.6,43.98,24.7
