Datum,Zeitpunkt,Haus,Bedachung,Pflanzen-Nr,Veredelung ,Salzstress,Trieblänge,Anzahl_Blätter,Anzahl_Blütenstände,Anzahl_grüne_Früchte,Anzahl_rote_Früchte,Anzahl_Blütenendfäule,Anzahl_geerntete_Früchte,Gewicht_Trieb,Gewicht_Blätter,Gewicht_grüne_Früchte,Gewicht_rote_Früchte,Gewicht_Blütenendfäule
9/17/2018,1,1,Floatglas,1,ohne,ohne,63,13,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,2,ohne,ohne,53,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,3,ohne,ohne,53,11,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,4,ohne,ohne,56,12,3,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,5,mit,ohne,51,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,6,mit,ohne,50,11,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,7,mit,ohne,57,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,8,mit,ohne,58,13,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,9,mit,mit,52,11,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,10,mit,mit,47,9,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,11,mit,mit,61,12,2,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,12,mit,mit,52,10,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,13,ohne,mit,52,9,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,14,ohne,mit,59,12,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,15,ohne,mit,64,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,1,Floatglas,16,ohne,mit,63,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,17,ohne,ohne,54,14,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,18,ohne,ohne,54,12,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,19,ohne,ohne,58,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,20,ohne,ohne,53,11,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,21,mit,ohne,54,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,22,mit,ohne,56,11,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,23,mit,ohne,53,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,24,mit,ohne,52,12,5,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,25,mit,mit,59,12,3,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,26,mit,mit,50,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,27,mit,mit,53,11,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,28,mit,mit,46,8,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,29,ohne,mit,58,13,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,30,ohne,mit,55,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,31,ohne,mit,56,13,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,2,Solarglas,32,ohne,mit,65,13,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,33,ohne,ohne,62,13,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,34,ohne,ohne,62,12,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,35,ohne,ohne,62,11,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,36,ohne,ohne,61,13,5,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,37,mit,ohne,58,12,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,38,mit,ohne,49,10,3,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,39,mit,ohne,59,13,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,40,mit,ohne,60,13,3,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,41,mit,mit,59,11,2,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,42,mit,mit,52,11,3,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,43,mit,mit,63,11,4,4,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,44,mit,mit,46,11,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,45,ohne,mit,58,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,46,ohne,mit,63,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,47,ohne,mit,55,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,3,ETFE-Folie,48,ohne,mit,60,13,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,49,ohne,ohne,62,13,4,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,50,ohne,ohne,57,12,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,51,ohne,ohne,52,11,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,52,ohne,ohne,46,11,4,2,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,53,mit,ohne,52,10,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,54,mit,ohne,62,13,4,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,55,mit,ohne,53,11,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,56,mit,ohne,52,11,3,4,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,57,mit,mit,47,10,3,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,58,mit,mit,40,10,5,3,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,59,mit,mit,57,12,4,0,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,60,mit,mit,44,10,2,1,0,0,0,NA,NA,NA,NA,NA
9/17/2018,1,4,Floatglas,61,ohne,mit,53,11,4,0,0,0,0,NA,NA,NA,NA,NA
